name,old_price,present_price,discount,due_discount,type_of_device,trademark,series,link
Laptop Apple MacBook Air 13 inch M1 2020 8-core CPU/8GB/256GB/7-core GPU (MGN63SA/A),19.590.000₫,19.490.000₫,empty,23:00 | 30/11,Laptop,MacBook,Air,https://www.thegioididong.com/laptop/apple-macbook-air-2020-mgn63saa
Laptop HP 15s fq5229TU i3 1215U/8GB/512GB/Win11 (8U237PA),13.690.000₫,11.190.000₫ *,-18%,23:00 | 30/11,Laptop,HP,15s,https://www.thegioididong.com/laptop/hp-15s-fq5229tu-i3-8u237pa
Laptop Asus TUF Gaming F15 FX506HF i5 11400H/8GB/512GB/4GB RTX2050/144Hz/Win11 (HN014W),19.990.000₫,16.990.000₫ *,-15%,23:00 | 30/11,Laptop,Asus,TUF,https://www.thegioididong.com/laptop/asus-tuf-gaming-f15-fx506hf-i5-hn014w
Laptop Acer Aspire 5 Gaming A515 58GM 51LB i5 13420H/16GB/512GB/4GB RTX2050/Win11 (NX.KQ4SV.002),20.490.000₫,16.990.000₫ *,-17%,23:00 | 30/11,Laptop,Acer,Aspire,https://www.thegioididong.com/laptop/acer-aspire-5-a515-58gm-51lb-i5-nxkq4sv002
Laptop Asus Vivobook Go 15 E1504FA R5 7520U/16GB/512GB/Chuột/Win11 (NJ776W),14.490.000₫,13.290.000₫ *,-8%,23:00 | 06/11,Laptop,Asus,Vivobook,https://www.thegioididong.com/laptop/asus-vivobook-go-15-e1504fa-r5-nj776w
Laptop Lenovo Ideapad 3 15ITL6 i3 1115G4/8GB/256GB/Win11 (82H803SGVN),10.490.000₫,7.990.000₫ *,-23%,23:00 | 30/11,Laptop,Lenovo,Ideapad,https://www.thegioididong.com/laptop/lenovo-ideapad-3-15itl6-i3-82h803sgvn
Laptop Asus Vivobook 15 X1504ZA i3 1215U/8GB/512GB/Win11 (NJ102W),12.290.000₫,10.990.000₫ *,-10%,hơn dự kiến,Laptop,Asus,Vivobook,https://www.thegioididong.com/laptop/asus-vivobook-15-x1504za-i3-nj102w
Laptop HP 240 G9 i3 1215U/8GB/256GB/Win11 (6L1X7PA),12.990.000₫,10.190.000₫ *,-21%,23:00 | 30/11,Laptop,HP,240,https://www.thegioididong.com/laptop/hp-240-g9-i3-6l1x7pa
Laptop Asus TUF Gaming F17 FX706HF i5 11400H/16GB/512GB/4GB RTX2050/144Hz/Win11 (HX390W),20.990.000₫,18.990.000₫ *,-9%,23:00 | 30/11,Laptop,Asus,TUF,https://www.thegioididong.com/laptop/asus-tuf-gaming-f17-fx706hf-i5-hx390w
Laptop HP 15s fq5162TU i5 1235U/8GB/512GB/Win11 (7C134PA),18.890.000₫,15.690.000₫ *,-16%,23:00 | 30/11,Laptop,HP,15s,https://www.thegioididong.com/laptop/hp-15s-fq5162tu-i5-7c134pa
Laptop Asus TUF Gaming F15 FX506HC i5 11400H/16GB/512GB/4GB RTX3050/144Hz/Win11 (HN949W),22.990.000₫,19.490.000₫ *,-15%,hơn dự kiến,Laptop,Asus,TUF,https://www.thegioididong.com/laptop/asus-tuf-gaming-f15-fx506hc-i5-hn949w
Laptop Asus Vivobook X515EA i5 1135G7/16GB/512GB/Chuột/Win11 (EJ4155W),14.990.000₫,13.990.000₫ *,-6%,23:00 | 30/11,Laptop,Asus,Vivobook,https://www.thegioididong.com/laptop/asus-vivobook-x515ea-i5-ej4155w
Laptop Acer Aspire 3 A315 58 589K i5 1135G7/8GB/256GB/Win11 (NX.AM0SV.008),13.990.000₫,11.990.000₫ *,-14%,23:00 | 30/11,Laptop,Acer,Aspire,https://www.thegioididong.com/laptop/acer-aspire-3-a315-58-589k-i5-nxam0sv008
Laptop Dell Vostro 15 3520 i3 1215U/8GB/512GB/120Hz/OfficeHS/Win11 (5M2TT1),14.790.000₫,11.990.000₫,-18%,23:00 | 30/11,Laptop,Dell,Vostro,https://www.thegioididong.com/laptop/dell-vostro-15-3520-i3-5m2tt1
Laptop HP 14 ep0126TU i3 N305/8GB/256GB/Win11 (8U233PA),11.990.000₫,10.190.000₫ *,-15%,23:00 | 30/11,Laptop,HP,14,https://www.thegioididong.com/laptop/hp-14-ep0126tu-i3-8u233pa
Laptop Asus Vivobook 16 X1605VA i5 1335U/16GB/512GB/Win11 (MB360W),18.990.000₫,15.990.000₫ *,-15%,23:00 | 06/11,Laptop,Asus,Vivobook,https://www.thegioididong.com/laptop/asus-vivobook-16-x1605va-i5-mb360w
Laptop Dell Inspiron 15 3520 i3 1215U/8GB/512GB/120Hz/OfficeHS/Win11 (71003264),14.490.000₫,11.990.000₫,-17%,23:00 | 30/11,Laptop,Dell,Inspiron,https://www.thegioididong.com/laptop/dell-inspiron-3520-i3-71003264
Laptop HP 15s fq2716TU i3 1115G4/8GB/512GB/Win11 (7C0X3PA),13.690.000₫,10.390.000₫ *,-24%,23:00 | 30/11,Laptop,HP,15s,https://www.thegioididong.com/laptop/hp-15s-fq2716tu-i3-7c0x3pa
Laptop Asus Vivobook X415EA i3 1115G4/8GB/256GB/Win11 (EK2034W),10.990.000₫,9.190.000₫ *,-16%,hơn dự kiến,Laptop,Asus,Vivobook,https://www.thegioididong.com/laptop/asus-vivobook-x415ea-i3-ek2034w
Laptop Acer Aspire 3 A315 510P 32EF i3 N305/8GB/256GB/Win11 (NX.KDHSV.001),9.990.000₫,8.990.000₫ *,-10%,23:00 | 30/11,Laptop,Acer,Aspire,https://www.thegioididong.com/laptop/acer-aspire-3-a315-510p-32ef-i3-nxkdhsv001
Laptop HP Pavilion 14 dv2074TU i5 1235U/8GB/512GB/Win11 (7C0P3PA),19.690.000₫,16.790.000₫ *,-14%,23:00 | 30/11,Laptop,HP,Pavilion,https://www.thegioididong.com/laptop/hp-pavilion-14-dv2074tu-i5-7c0p3pa
Laptop Dell Inspiron 15 3520 i5 1235U/8GB/256GB/120Hz/OfficeHS/Win11 (N5I5122W1),18.590.000₫,14.990.000₫,-19%,23:00 | 30/11,Laptop,Dell,Inspiron,https://www.thegioididong.com/laptop/dell-inspiron-15-3520-i5-n5i5122w1
Laptop Asus Vivobook 15 X1504VA i5 1335U/8GB/512GB/Win11 (NJ025W),17.990.000₫,14.990.000₫ *,-16%,23:00 | 06/11,Laptop,Asus,Vivobook,https://www.thegioididong.com/laptop/asus-vivobook-15-x1504va-i5-nj025w
Laptop Acer Aspire 3 A315 58 54XF i5 1135G7/8GB/512GB/Win11 (NX.AM0SV.007),14.990.000₫,12.990.000₫ *,-13%,23:00 | 30/11,Laptop,Acer,Aspire,https://www.thegioididong.com/laptop/acer-aspire-3-a315-58-54xf-i5-nxam0sv007
Laptop Lenovo Ideapad 3 15IAU7 i3 1215U/8GB/256GB/Win11 (82RK005LVN),13.890.000₫,9.190.000₫ *,-33%,23:00 | 30/11,Laptop,Lenovo,Ideapad,https://www.thegioididong.com/laptop/lenovo-ideapad-3-15iau7-i3-82rk005lvn
Laptop HP Pavilion 15 eg2082TU i5 1240P/8GB/512GB/Win11 (7C0Q5PA),19.790.000₫,16.890.000₫ *,-14%,23:00 | 30/11,Laptop,HP,Pavilion,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2082tu-i5-7c0q5pa
Laptop Lenovo Ideapad Slim 3 15IAH8 i5 12450H/16GB/512GB/Win11 (83ER000EVN),15.490.000₫,14.990.000₫ *,empty,23:00 | 30/11,Laptop,Lenovo,Ideapad,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15iah8-i5-83er00evn
Laptop Asus Vivobook X515EA i3 1115G4/8GB/512GB/Win11 (EJ3948W),11.290.000₫,9.790.000₫ *,-13%,23:00 | 06/11,Laptop,Asus,Vivobook,https://www.thegioididong.com/laptop/asus-vivobook-x515ea-i3-ej3948w
Laptop Apple MacBook Air 13 inch M2 2022 8-core CPU/8GB/256GB/8-core GPU (MLXY3SA/A),27.090.000₫,26.990.000₫,empty,23:00 | 30/11,Laptop,MacBook,Air,https://www.thegioididong.com/laptop/apple-macbook-air-m2-2022
Laptop Lenovo Ideapad 3 15ITL6 i5 1155G7/8GB/512GB/Win11 (82H803RRVN),14.490.000₫,11.690.000₫ *,-19%,23:00 | 30/11,Laptop,Lenovo,Ideapad,https://www.thegioididong.com/laptop/lenovo-ideapad-3-15itl6-i5-82h803rrvn
Laptop HP 240 G8 i3 1115G4/8GB/256GB/Win11 (6L1A1PA),12.990.000₫,9.290.000₫ *,-28%,23:00 | 30/11,Laptop,HP,240,https://www.thegioididong.com/laptop/hp-240-g8-i3-6l1a1pa
Laptop Asus TUF Gaming F15 FX506HE i7 11800H/16GB/512GB/4GB RTX3050Ti/144Hz/Win11 (HN378W),22.990.000₫,20.990.000₫ *,-8%,23:00 | 30/11,Laptop,Asus,TUF,https://www.thegioididong.com/laptop/asus-tuf-gaming-f15-fx506he-i7-hn378w
Laptop HP 15s fq5147TU i7 1255U/8GB/512GB/Win11 (7C133PA),20.890.000₫,17.990.000₫ *,-13%,23:00 | 30/11,Laptop,HP,15s,https://www.thegioididong.com/laptop/hp-15s-fq5147tu-i7-7c133pa
Laptop Acer Aspire 3 A315 59 314F i3 1215U/8GB/256GB/Win11 (NX.K6TSV.002),13.490.000₫,9.490.000₫ *,-29%,23:00 | 30/11,Laptop,Acer,Aspire,https://www.thegioididong.com/laptop/acer-aspire-3-a315-59-314f-i3-nxk6tsv002
